REG,COM,Nom,HApoly,Surfacesbois,Airbat,POPTOT,HApoly.cat,POPTOT.cat,DOM
1,5713,Crans-pres-Celigny,429,60,81,1963,1,2,1
1,5605,Grandvaux,295,35,55,1937,1,2,1
1,5638,Lonay,371,27,54,1900,1,2,1
1,6246,Saint-Leonard,390,67,34,1872,1,2,1
1,6238,Grone,2114,1349,84,1866,2,2,1
1,5702,Arzier,5190,3679,92,1811,3,2,1
1,6606,Bellevue,440,85,67,1801,1,2,1
1,5602,Cully,237,22,33,1798,1,2,1
1,5859,Mont-sur-Rolle,384,57,40,1796,1,2,1
1,6603,Avully,461,68,30,1736,1,2,1
1,6137,Martigny-Combe,3763,2388,55,1731,3,2,1
1,5498,La Sarraz,777,308,40,1728,1,2,1
1,5604,Forel (Lavaux),1853,522,69,1704,2,2,1
1,6629,Meinier,696,22,48,1696,1,2,1
1,6619,Corsier (GE),272,7,70,1682,1,2,1
1,6199,Raron,3031,574,31,1672,2,2,1
1,5649,Tolochenaz,159,12,41,1646,1,2,1
1,5816,Corcelles-pres-Payerne,1212,52,53,1644,2,2,1
1,5727,Saint-Cergue,2426,1579,85,1601,2,1,1
1,6219,Vernayaz,561,310,38,1597,1,1,1
1,6008,Ried-Brig,4750,1461,40,1582,3,1,1
1,6158,Vionnaz,2093,1060,58,1562,2,1,1
1,6083,Evolene,20994,2529,85,1522,5,1,1
1,6140,Saillon,1374,264,41,1519,2,1,1
1,5723,Mies,347,124,81,1499,1,1,1
1,5718,Genolier,483,162,55,1494,1,1,1
1,6235,Chippis,198,115,23,1491,1,1,1
1,6290,Saas Fee,4060,384,26,1454,3,1,1
1,5523,Froideville,712,366,48,1453,1,1,1
1,5428,Gimel,1886,1168,40,1449,2,1,1
1,6111,Leukerbad,6723,568,49,1431,3,1,1
1,6157,Val-d'Illiez,3926,1416,80,1428,3,1,1
1,6250,Veyras,145,11,26,1422,1,1,1
1,5588,Paudex,48,3,28,1403,1,1,1
1,6298,Visperterminen,5162,1626,30,1357,3,1,1
1,5425,Biere,2500,1297,58,1353,2,1,1
1,6200,Steg,716,206,21,1336,1,1,1
1,5704,Begnins,476,85,42,1335,1,1,1
1,6215,Massongex,663,321,37,1319,1,1,1
1,6089,Vex,1299,581,81,1311,2,1,1
1,6036,Volleges,1788,1005,46,1309,2,1,1
1,5411,Ormont-Dessus,6153,1922,104,1307,3,1,1
1,5871,L'Abbaye,3192,1815,52,1304,3,1,1
1,6107,Gampel,1688,668,15,1301,2,1,1
1,6084,Heremence,10752,2024,62,1294,4,1,1
1,5496,Penthaz,392,52,29,1287,1,1,1
1,5885,Jongny,216,45,35,1286,1,1,1
1,6620,Dardagny,856,232,26,1284,1,1,1
1,6615,Collex-Bossy,688,183,37,1279,1,1,1
1,6285,Grachen,1432,767,46,1254,2,1,1
1,5729,Tannay,180,25,43,1227,1,1,1
1,5793,Oron-la-Ville,311,45,35,1224,1,1,1
1,6113,Salgesch,1134,606,26,1198,2,1,1
1,6604,Avusy,521,45,41,1177,1,1,1
1,6291,Saas Grund,2455,307,19,1167,2,1,1
1,5421,Apples,1296,619,34,1159,2,1,1
1,6293,Stalden (VS),1043,753,23,1149,1,1,1
1,5818,Granges-pres-Marnand,695,154,32,1146,1,1,1
1,5585,Jouxtens-Mezery,193,23,47,1145,1,1,1
1,5634,Echichens,260,24,29,1119,1,1,1
1,5730,Trelex,569,191,41,1113,1,1,1
1,5632,Denges,167,12,24,1109,1,1,1
1,6151,Champery,3888,1301,78,1107,3,1,1
1,6626,Jussy,1134,417,57,1107,2,1,1
1,5860,Perroy,289,16,40,1104,1,1,1
1,5795,Palezieux,577,144,31,1091,1,1,1
1,6132,Charrat,762,305,31,1081,1,1,1
1,5410,Ormont-Dessous,6410,2743,91,1075,3,1,1
1,6281,Baltschieder,3144,103,15,1050,3,1,1
1,5707,Chavannes-de-Bogis,285,31,29,1048,1,1,1
1,5709,Cheserex,1060,547,32,1043,1,1,1
1,5719,Gingins,1258,717,58,1037,2,1,1
1,6218,Salvan,5351,1375,46,1020,3,1,1
1,5726,La Rippe,1661,983,32,1010,2,1,1
1,5503,Vufflens-la-Ville,529,116,33,999,1,1,1
1,6057,Fiesch,1126,458,38,996,2,1,1
1,5405,Gryon,1515,770,105,993,2,1,1
1,6114,Turtmann,682,248,23,992,1,1,1
1,5799,Servion,420,100,35,979,1,1,1
1,5745,Baulmes,2253,1232,20,970,2,1,1
1,5791,Mezieres (VD),348,79,30,969,1,1,1
1,5655,Yens,949,360,37,965,1,1,1
1,5415,Yvorne,1219,491,25,962,2,1,1
1,5731,Le Vaud,311,88,47,942,1,1,1
1,6249,Venthone,253,58,29,935,1,1,1
1,6614,Choulex,388,36,46,935,1,1,1
1,6213,Evionnaz,4799,911,24,930,3,1,1
1,5514,Bottens,679,131,27,917,1,1,1
1,6134,Iserables,1524,770,22,914,2,1,1
1,6241,Miege,253,91,19,913,1,1,1
1,6611,Chancy,535,179,31,913,1,1,1
1,5482,Eclepens,581,155,27,904,1,1,1
1,5715,Duillier,419,32,29,901,1,1,1
1,5843,Rougemont,4855,1533,61,901,3,1,1
1,6087,Saint-Martin (VS),3702,1584,37,897,3,1,1
1,5413,Roche (VD),645,200,34,894,1,1,1
1,5527,Morrens (VD),368,73,36,888,1,1,1
1,6264,Salins,414,206,40,883,1,1,1
1,5512,Bercher,426,112,30,878,1,1,1
1,5744,Ballaigues,904,448,33,871,1,1,1
1,5706,Borex,201,3,27,865,1,1,1
1,5486,L'Isle,1625,755,38,858,2,1,1
1,5891,Veytaux,672,490,19,851,1,1,1
1,5705,Bogis-Bossey,244,65,22,847,1,1,1
1,5456,Cudrefin,1325,254,48,844,2,1,1
1,5703,Bassins,2080,1266,44,832,2,1,1
1,5716,Eysins,238,18,27,831,1,1,1
1,6295,Tasch,5872,547,19,831,3,1,1
1,5494,Pampigny,1108,411,24,828,2,1,1
1,5720,Givrins,397,175,38,823,1,1,1
1,6625,Hermance,144,22,31,816,1,1,1
1,5501,Sullens,385,49,28,813,1,1,1
1,5521,Etagnieres,380,57,18,800,1,1,1
1,6261,Arbaz,1929,498,51,800,2,1,1
1,5873,Le Lieu,3255,1954,26,795,3,1,1
1,6035,Sembrancher,1763,1114,18,792,2,1,1
1,5406,Lavey-Morcles,1418,879,34,781,2,1,1
1,6010,Termen,1873,510,29,781,2,1,1
1,5782,Carrouge (VD),542,111,27,780,1,1,1
1,6155,Saint-Gingolph,1438,826,30,773,2,1,1
1,5511,Assens,450,44,15,770,1,1,1
1,6242,Mollens (VS),3251,956,60,770,3,1,1
1,5714,Crassier,203,26,19,769,1,1,1
1,5857,Gilly,778,272,32,768,1,1,1
1,5497,Pompaples,445,82,14,761,1,1,1
1,6101,Agarn,765,254,20,758,1,1,1
1,6609,Cartigny,437,129,28,748,1,1,1
1,6173,Bitsch,402,203,20,747,1,1,1
1,5473,Boussens,315,43,15,743,1,1,1
1,6601,Aire-la-Ville,284,72,22,736,1,1,1
1,5732,Vich,156,40,23,734,1,1,1
1,6131,Bovernier,1286,931,22,733,2,1,1
1,5817,Grandcour,1018,141,35,730,1,1,1
1,5746,Bavois,932,149,22,727,1,1,1
1,5637,Lavigny,401,20,23,701,1,1,1
1,5492,Montricher,2594,1489,34,696,2,1,1
1,5554,Concise,1140,767,25,684,2,1,1
1,6193,Burchen,1345,741,44,672,2,1,1
1,5520,Essertines-sur-Yverdon,978,249,25,663,1,1,1
1,5639,Lully (VD),206,31,23,663,1,1,1
1,6033,Liddes,6016,1430,27,659,3,1,1
1,5553,Champagne,393,144,13,653,1,1,1
1,6286,Lalden,128,21,13,651,1,1,1
1,5408,Noville,1032,381,28,647,1,1,1
1,5537,Villars-le-Terroir,706,98,30,637,1,1,1
1,5427,Fechy,271,18,29,632,1,1,1
1,5653,Vufflens-le-Chateau,214,29,24,631,1,1,1
1,5535,Saint-Barthelemy (VD),411,49,13,629,1,1,1
1,6191,Ausserberg,1490,673,19,628,2,1,1
1,5786,Les Cullayes,212,19,24,628,1,1,1
1,5434,Saint-George,1230,939,40,618,2,1,1
1,6635,Presinge,469,93,25,614,1,1,1
1,5524,Goumoens-la-Ville,727,143,15,611,1,1,1
1,6212,Dorenaz,1257,758,21,607,2,1,1
1,5922,Montagny-pres-Yverdon,355,23,20,606,1,1,1
1,5623,Buchillon,213,68,43,604,1,1,1
1,5651,Villars-Sainte-Croix,166,16,16,602,1,1,1
1,6116,Varen,1281,436,17,602,2,1,1
1,6610,Celigny,466,84,43,599,1,1,1
1,5480,Daillens,555,112,24,598,1,1,1
1,6639,Soral,289,14,14,597,1,1,1
1,5926,Pomy,562,89,15,583,1,1,1
1,5631,Denens,327,6,22,581,1,1,1
1,5689,Thierrens,872,200,22,579,1,1,1
1,5640,Lussy-sur-Morges,233,31,19,578,1,1,1
1,6006,Mund,4012,817,16,574,3,1,1
1,6198,Niedergesteln,1742,494,13,573,2,1,1
1,6231,Ayer,11907,1566,54,570,4,1,1
1,5539,Vuarrens,899,217,19,565,1,1,1
1,5412,Rennaz,221,2,17,565,1,1,1
1,5484,Gollion,544,62,21,565,1,1,1
1,5612,Villette (Lavaux),136,3,15,564,1,1,1
1,5515,Bretigny-sur-Morrens,288,69,20,563,1,1,1
1,5652,Villars-sous-Yens,306,54,8,560,1,1,1
1,5458,Faoug,345,87,28,559,1,1,1
1,6294,Staldenried,1432,614,23,554,2,1,1
1,5489,Mex (VD),290,88,20,547,1,1,1
1,5533,Poliez-Pittet,500,184,17,543,1,1,1
1,6627,Laconnex,385,31,12,540,1,1,1
1,5435,Saint-Livres,810,354,16,538,1,1,1
1,5933,Valeyres-sous-Montagny,227,50,15,534,1,1,1
1,5743,Arnex-sur-Orbe,762,155,21,530,1,1,1
1,5909,Cheseaux-Noreaz,609,315,20,528,1,1,1
1,5452,Bellerive (VD),227,23,31,528,1,1,1
1,5532,Poliez-le-Grand,515,64,23,528,1,1,1
1,6179,Morel,119,36,17,524,1,1,1
1,5853,Bursins,336,108,17,522,1,1,1
1,5552,Bullet,1685,753,49,522,2,1,1
1,5904,Chamblon,285,66,24,513,1,1,1
1,5842,Rossiniere,2334,1095,21,507,2,1,1
1,5570,Villars-Burquin,481,294,20,504,1,1,1
1,6194,Eischoll,1377,625,21,500,2,1,1
1,6296,Torbel,1759,663,20,498,2,1,1
1,5763,Valeyres-sous-Rances,636,76,16,497,1,1,1
1,5856,Essertines-sur-Rolle,697,150,28,496,1,1,1
1,6177,Grengiols,5846,1495,15,491,3,1,1
1,6202,Wiler (Lotschen),1466,317,12,488,2,1,1
1,6211,Collonges,1223,616,9,488,2,1,1
1,6267,Veysonnaz,110,42,15,467,1,1,1
1,6103,Bratsch,617,208,12,464,1,1,1
1,5919,Mathod,659,56,16,459,1,1,1
1,5931,Treycovagnes,207,1,9,458,1,1,1
1,5630,Colombier (VD),530,53,15,456,1,1,1
1,6063,Munster (VS),3856,681,18,455,3,1,1
1,6251,Vissoie,150,105,12,451,1,1,1
1,5708,Chavannes-des-Bois,213,80,15,450,1,1,1
1,6171,Betten,2635,315,18,449,2,1,1
1,5692,Vucherens,326,79,22,444,1,1,1
1,5645,Romanel-sur-Morges,176,25,11,441,1,1,1
1,6220,Verossaz,1428,670,21,439,2,1,1
1,5432,Montherod,497,230,11,439,1,1,1
1,5803,Vulliens,664,179,16,438,1,1,1
1,5765,Vaulion,1318,630,15,437,2,1,1
1,5761,Romainmotier-Envy,701,482,9,435,1,1,1
1,6052,Bellwald,1369,271,34,427,2,1,1
1,5529,Oulens-sous-Echallens,588,153,15,427,1,1,1
1,6201,Unterbach,2199,609,18,426,2,1,1
1,5522,Fey,735,197,18,422,1,1,1
1,5760,Rances,984,357,11,419,1,1,1
1,5766,Vuiteboeuf,503,214,11,417,1,1,1
1,5855,Dully,166,29,30,414,1,1,1
1,5785,Corcelles-le-Jorat,794,335,20,412,1,1,1
1,5685,Saint-Cierges,644,221,12,411,1,1,1
1,6117,Guttet-Feschel,1051,272,13,410,1,1,1
1,6237,Grimentz,5830,410,25,404,3,1,1
1,5756,Montcherand,306,92,11,404,1,1,1
1,6239,Icogne,2481,705,34,404,2,1,1
1,6287,Randa,5453,537,10,404,3,1,1
1,5654,Vullierens,682,60,22,402,1,1,1
1,5565,Onnens (VD),512,252,10,397,1,1,1
1,6288,Saas Almagell,11022,452,13,397,4,1,1
1,6289,Saas Balen,3018,685,12,397,2,1,1
1,5479,Cuarnens,717,218,13,395,1,1,1
1,6637,Russin,496,117,12,392,1,1,1
1,5851,Allaman,261,44,22,392,1,1,1
1,5728,Signy-Avenex,193,3,14,390,1,1,1
1,5530,Pailly,577,102,16,389,1,1,1
1,6056,Ernen,1531,511,19,385,2,1,1
1,5813,Chevroux,437,86,22,383,1,1,1
1,6086,Nax,2455,729,37,383,2,1,1
1,6004,Eggerberg,594,338,18,382,1,1,1
1,5647,Saint-Saphorin-sur-Morges,379,15,14,381,1,1,1
1,5798,Ropraz,482,91,19,373,1,1,1
1,5792,Montpreveyres,411,204,22,373,1,1,1
1,5426,Bougy-Villars,177,45,17,370,1,1,1
1,6624,Gy,330,98,18,370,1,1,1
1,5566,Provence,3179,1371,23,368,3,1,1
1,5815,Combremont-le-Petit,574,128,13,368,1,1,1
1,5710,Coinsins,290,47,17,368,1,1,1
1,6197,Kippel,1166,354,5,368,2,1,1
1,5783,Chatillens,211,56,7,365,1,1,1
1,5621,Aclens,392,65,13,363,1,1,1
1,5622,Bremblens,291,60,18,360,1,1,1
1,6067,Reckingen (VS),3384,635,16,356,3,1,1
1,6283,Embd,1339,203,7,353,2,1,1
1,5474,La Chaux (Cossonay),673,118,17,352,1,1,1
1,5499,Senarclens,398,19,15,349,1,1,1
1,5430,Marchissy,1198,780,13,348,2,1,1
1,5559,Giez,478,171,15,348,1,1,1
1,5610,Saint-Saphorin (Lavaux),91,10,7,348,1,1,1
1,5404,Corbeyrier,2200,1141,25,347,2,1,1
1,5929,Suchy,666,251,10,345,1,1,1
1,5556,Fiez,683,244,7,345,1,1,1
1,5429,Longirod,947,532,14,344,1,1,1
1,5551,Bonvillars,754,325,14,344,1,1,1
1,5790,Maracon,333,77,10,344,1,1,1
1,5478,Cottens (VD),237,35,16,343,1,1,1
1,5538,Villars-Tiercelin,502,238,13,343,1,1,1
1,5423,Ballens,847,255,12,342,1,1,1
1,5531,Penthereaz,566,173,9,342,1,1,1
1,5852,Bursinel,177,21,11,342,1,1,1
1,5462,Vallamand,237,55,19,339,1,1,1
1,5625,Bussy-Chardonney,305,25,17,337,1,1,1
1,5755,Lignerolle,1062,501,12,334,1,1,1
1,5493,Orny,555,88,14,334,1,1,1
1,6009,Simplon,9082,1114,16,333,4,1,1
1,5787,Ecoteaux,355,51,13,331,1,1,1
1,5471,Bettens,374,48,15,330,1,1,1
1,5485,Grancy,565,152,18,328,1,1,1
1,5491,Mont-la-Ville,1975,1047,17,328,2,1,1
1,5487,Lussery-Villars,365,32,12,327,1,1,1
1,5644,Reverolle,119,2,12,323,1,1,1
1,5858,Luins,269,34,9,322,1,1,1
1,5913,Donneloye,372,130,11,320,1,1,1
1,5914,Ependes (VD),479,69,9,320,1,1,1
1,6247,Saint-Luc,3188,945,36,319,3,1,1
1,5664,Chapelle-sur-Moudon,463,59,17,319,1,1,1
1,6214,Finhaut,2288,600,17,318,2,1,1
1,5609,Rivaz,32,0,3,317,1,1,1
1,5722,Grens,254,6,7,316,1,1,1
1,5403,Chessel,357,87,12,314,1,1,1
1,5796,Peney-le-Jorat,446,174,9,312,1,1,1
1,5854,Burtigny,568,199,13,311,1,1,1
1,5603,Epesses,160,47,4,308,1,1,1
1,5814,Combremont-le-Grand,661,134,11,308,1,1,1
1,5910,Cronay,661,219,10,308,1,1,1
1,5751,Corcelles-sur-Chavornay,549,162,13,305,1,1,1
1,6180,Ried-Morel,1566,667,13,304,2,1,1
1,6105,Erschmatt,1120,254,9,302,2,1,1
1,5608,Riex,137,13,9,300,1,1,1
1,5905,Champvent,688,176,12,299,1,1,1
1,5863,Vinzel,111,21,8,295,1,1,1
1,6061,Lax,502,194,13,290,1,1,1
1,5463,Villars-le-Grand,421,11,14,290,1,1,1
1,5513,Bioley-Orjulaz,312,56,9,288,1,1,1
1,6195,Ferden,2792,500,10,286,2,1,1
1,5673,Hermenches,476,136,15,284,1,1,1
1,6192,Blatten,9065,812,15,281,4,1,1
1,5455,Constantine,283,42,18,280,1,1,1
1,5641,Monnaz,161,25,10,279,1,1,1
1,5555,Corcelles-pres-Concise,409,170,19,278,1,1,1
1,5669,Curtilles,495,74,12,277,1,1,1
1,5826,Seigneux,372,117,13,276,1,1,1
1,5821,Missy,311,7,18,275,1,1,1
1,5431,Mollens (VD),1100,555,9,272,2,1,1
1,6081,Les Agettes,509,332,28,270,1,1,1
1,5752,Croy,449,215,9,267,1,1,1
1,5789,Ferlens (VD),218,47,5,265,1,1,1
1,6102,Albinen,1548,571,13,261,2,1,1
1,6066,Oberwald,9692,755,15,260,4,1,1
1,5788,Essertes,166,27,6,259,1,1,1
1,5628,Chigny,90,4,8,258,1,1,1
1,6058,Fieschertal,17296,387,10,255,5,1,1
1,5472,Bournens,389,66,12,251,1,1,1
1,5902,Belmont-sur-Yverdon,649,121,9,247,1,1,1
1,5671,Dompierre (VD),322,74,15,246,1,1,1
1,5517,Dommartin,294,101,9,241,1,1,1
1,5436,Saint-Oyens,305,117,10,237,1,1,1
1,5754,Juriens,935,471,12,237,1,1,1
1,5741,L'Abergement,574,319,15,235,1,1,1
1,6299,Zeneggen,749,522,17,235,1,1,1
1,5907,Chavannes-le-Chene,398,50,11,233,1,1,1
1,5794,Oron-le-Chatel,126,44,9,233,1,1,1
1,5536,Sugnens,269,65,10,233,1,1,1
1,5827,Trey,380,68,15,232,1,1,1
1,5819,Henniez,263,62,13,230,1,1,1
1,5680,Ogens,340,102,13,227,1,1,1
1,6282,Eisten,3805,909,9,226,3,1,1
1,5742,Agiez,547,173,6,224,1,1,1
1,5461,Oleyres,192,48,10,223,1,1,1
1,5483,Ferreyres,313,133,9,222,1,1,1
1,6071,Ulrichen,4435,384,12,221,3,1,1
1,6001,Birgisch,575,266,11,217,1,1,1
1,5424,Berolle,959,584,9,212,1,1,1
1,6032,Bourg-Saint-Pierre,9009,614,10,212,4,1,1
1,5661,Boulens,345,116,7,211,1,1,1
1,5476,Chevilly,389,73,10,211,1,1,1
1,5687,Sottens,453,134,13,210,1,1,1
1,5759,Premier,611,297,11,208,1,1,1
1,6085,Mase,1110,466,14,207,2,1,1
1,5924,Orges,401,61,10,203,1,1,1
1,5490,Moiry,666,370,12,202,1,1,1
1,6196,Hohtenn,699,336,7,200,1,1,1
1,5748,Bretonnieres,546,265,13,200,1,1,1
1,5437,Saubraz,369,164,6,198,1,1,1
1,5453,Chabrey,396,147,12,198,1,1,1
1,5925,Orzens,419,69,11,197,1,1,1
1,5665,Chavannes-sur-Moudon,515,104,10,197,1,1,1
1,6245,Saint-Jean,1555,716,18,196,2,1,1
1,6065,Obergesteln,1456,360,7,195,2,1,1
1,5534,Rueyres,201,37,10,195,1,1,1
1,5862,Tartegnin,109,43,2,194,1,1,1
1,5500,Severy,237,24,9,193,1,1,1
1,6073,Grafschaft,2262,460,14,192,2,1,1
1,5830,Villarzel,406,110,9,190,1,1,1
1,5691,Villars-Mendraz,155,28,6,190,1,1,1
1,5663,Bussy-sur-Moudon,309,65,10,186,1,1,1
1,5921,Molondin,553,161,8,181,1,1,1
1,5934,Valeyres-sous-Ursins,283,55,6,180,1,1,1
1,5930,Suscevaz,415,46,8,178,1,1,1
1,6104,Ergisch,2991,1131,6,176,2,1,1
1,5460,Mur (VD),178,16,9,173,1,1,1
1,5801,Les Thioleyres,193,14,4,172,1,1,1
1,5911,Cuarny,456,125,7,171,1,1,1
1,5923,Oppens,360,100,9,170,1,1,1
1,5481,Dizy,303,66,5,170,1,1,1
1,5932,Ursins,337,69,4,170,1,1,1
1,5903,Bioley-Magnoux,427,115,6,169,1,1,1
1,5662,Brenles,385,115,7,163,1,1,1
1,6060,Gluringen,740,164,9,161,1,1,1
1,6115,Unterems,135,74,6,161,1,1,1
1,5666,Chesalles-sur-Moudon,165,19,7,159,1,1,1
1,5650,Vaux-sur-Morges,210,27,9,158,1,1,1
1,5747,Bofflens,419,97,8,157,1,1,1
1,5459,Montmagny,377,72,6,156,1,1,1
1,6054,Binn,6503,1100,9,155,3,1,1
1,5750,Les Clees,702,490,6,154,1,1,1
1,6174,Filet,726,398,6,152,1,1,1
1,5674,Lovatens,345,58,5,151,1,1,1
1,5824,Sassel,335,93,8,148,1,1,1
1,5784,Chesalles-sur-Oron,200,34,10,148,1,1,1
1,5820,Marnand,224,68,11,145,1,1,1
1,6176,Greich,285,95,11,144,1,1,1
1,5560,Grandevent,346,175,6,144,1,1,1
1,6088,Vernamiege,739,504,11,144,1,1,1
1,5825,Sedeilles,247,63,7,144,1,1,1
1,5682,Peyres-Possens,191,76,3,143,1,1,1
1,5629,Clarmont,101,12,5,142,1,1,1
1,5918,Gressy,224,39,7,139,1,1,1
